date(dd-mm-yyy),time(hh:mm:ss),channel(1-40),intensity(%),interval(sec.)
1-1-2000,1:1:1,1,3,0
1-1-2000,1:1:1,11,3,0
1-1-2000,1:1:1,21,3,0
1-1-2000,1:1:1,31,3,0
1-1-2000,1:1:1,3,3,0
1-1-2000,1:1:1,13,3,0
1-1-2000,1:1:1,23,3,0
1-1-2000,1:1:1,33,3,0
1-1-2000,1:1:1,8,3,0
1-1-2000,1:1:1,18,3,0
1-1-2000,1:1:1,28,3,0
1-1-2000,1:1:1,38,3,0
1-1-2000,1:1:1,10,3,0
1-1-2000,1:1:1,20,3,0
1-1-2000,1:1:1,30,3,0
1-1-2000,1:1:1,40,3,0
1-1-2000,1:46:1,1,3,0
1-1-2000,1:46:1,11,3,0
1-1-2000,1:46:1,21,3,0
1-1-2000,1:46:1,31,3,0
1-1-2000,1:46:1,3,3,0
1-1-2000,1:46:1,13,3,0
1-1-2000,1:46:1,23,3,0
1-1-2000,1:46:1,33,3,0
1-1-2000,1:46:1,8,3,0
1-1-2000,1:46:1,18,3,0
1-1-2000,1:46:1,28,3,0
1-1-2000,1:46:1,38,3,0
1-1-2000,1:46:1,10,3,0
1-1-2000,1:46:1,20,3,0
1-1-2000,1:46:1,30,3,0
1-1-2000,1:46:1,40,3,0
1-1-2000,1:46:6,1,4,0
1-1-2000,1:46:6,11,4,0
1-1-2000,1:46:6,21,4,0
1-1-2000,1:46:6,31,4,0
1-1-2000,1:46:6,3,4,0
1-1-2000,1:46:6,13,4,0
1-1-2000,1:46:6,23,4,0
1-1-2000,1:46:6,33,4,0
1-1-2000,1:46:6,8,4,0
1-1-2000,1:46:6,18,4,0
1-1-2000,1:46:6,28,4,0
1-1-2000,1:46:6,38,4,0
1-1-2000,1:46:6,10,4,0
1-1-2000,1:46:6,20,4,0
1-1-2000,1:46:6,30,4,0
1-1-2000,1:46:6,40,4,0
1-1-2000,1:46:10,1,5,0
1-1-2000,1:46:10,11,5,0
1-1-2000,1:46:10,21,5,0
1-1-2000,1:46:10,31,5,0
1-1-2000,1:46:10,3,5,0
1-1-2000,1:46:10,13,5,0
1-1-2000,1:46:10,23,5,0
1-1-2000,1:46:10,33,5,0
1-1-2000,1:46:10,8,5,0
1-1-2000,1:46:10,18,5,0
1-1-2000,1:46:10,28,5,0
1-1-2000,1:46:10,38,5,0
