"hours","minutes","seconds","channel","intensity","interval","copy"
0,0,0,1,3,0,1
0,0,0,3,3,0,1
0,0,0,8,3,0,1
0,0,0,10,3,0,1
0,0,2700,1,3,0,1
0,0,2700,3,3,0,1
0,0,2700,8,3,0,1
0,0,2700,10,3,0,1
0,0,2705,1,4,0,1
0,0,2705,3,4,0,1
0,0,2705,8,4,0,1
0,0,2705,10,4,0,1
0,0,2709,1,5,0,1
0,0,2709,3,5,0,1
0,0,2709,8,5,0,1
0,0,2709,10,5,0,1
0,0,2714,1,6,0,1
0,0,2714,3,6,0,1
0,0,2714,8,6,0,1
0,0,2714,10,6,0,1
0,0,2718,1,7,0,1
0,0,2718,3,7,0,1
0,0,2718,8,7,0,1
0,0,2718,10,7,0,1
0,0,2723,1,8,0,1
0,0,2723,3,8,0,1
0,0,2723,8,8,0,1
0,0,2723,10,8,0,1
0,0,2728,1,9,0,1
0,0,2728,3,9,0,1
0,0,2728,8,9,0,1
0,0,2728,10,9,0,1
0,0,2732,1,10,0,1
0,0,2732,3,10,0,1
0,0,2732,8,10,0,1
0,0,2732,10,10,0,1
0,0,2737,1,11,0,1
0,0,2737,3,11,0,1
0,0,2737,8,11,0,1
0,0,2737,10,11,0,1
0,0,2742,1,12,0,1
0,0,2742,3,12,0,1
0,0,2742,8,12,0,1
0,0,2742,10,12,0,1
0,0,2746,1,13,0,1
0,0,2746,3,13,0,1
0,0,2746,8,13,0,1
0,0,2746,10,13,0,1
0,0,2751,1,14,0,1
0,0,2751,3,14,0,1
0,0,2751,8,14,0,1
0,0,2751,10,14,0,1
0,0,2755,1,15,0,1
0,0,2755,3,15,0,1
0,0,2755,8,15,0,1
0,0,2755,10,15,0,1
0,0,2760,1,16,0,1
0,0,2760,3,16,0,1
0,0,2760,8,16,0,1
0,0,2760,10,16,0,1
0,0,2765,1,17,0,1
0,0,2765,3,17,0,1
0,0,2765,8,17,0,1
0,0,2765,10,17,0,1
0,0,2769,1,18,0,1
0,0,2769,3,18,0,1
0,0,2769,8,18,0,1
0,0,2769,10,18,0,1
0,0,2774,1,19,0,1
0,0,2774,3,19,0,1
0,0,2774,8,19,0,1
0,0,2774,10,19,0,1
0,0,2778,1,20,0,1
0,0,2778,3,20,0,1
0,0,2778,8,20,0,1
0,0,2778,10,20,0,1
0,0,2783,1,21,0,1
0,0,2783,3,21,0,1
0,0,2783,8,21,0,1
0,0,2783,10,21,0,1
0,0,2788,1,22,0,1
0,0,2788,3,22,0,1
0,0,2788,8,22,0,1
0,0,2788,10,22,0,1
0,0,2792,1,23,0,1
0,0,2792,3,23,0,1
0,0,2792,8,23,0,1
0,0,2792,10,23,0,1
0,0,2797,1,24,0,1
0,0,2797,3,24,0,1
0,0,2797,8,24,0,1
0,0,2797,10,24,0,1
0,0,2802,1,25,0,1
0,0,2802,3,25,0,1
0,0,2802,8,25,0,1
0,0,2802,10,25,0,1
0,0,2806,1,26,0,1
0,0,2806,3,26,0,1
0,0,2806,8,26,0,1
0,0,2806,10,26,0,1
0,0,2811,1,27,0,1
0,0,2811,3,27,0,1
0,0,2811,8,27,0,1
0,0,2811,10,27,0,1
0,0,2815,1,28,0,1
0,0,2815,3,28,0,1
0,0,2815,8,28,0,1
0,0,2815,10,28,0,1
0,0,2820,1,29,0,1
0,0,2820,3,29,0,1
0,0,2820,8,29,0,1
0,0,2820,10,29,0,1
0,0,2825,1,28,0,1
0,0,2825,3,28,0,1
0,0,2825,8,28,0,1
0,0,2825,10,28,0,1
0,0,2829,1,27,0,1
0,0,2829,3,27,0,1
0,0,2829,8,27,0,1
0,0,2829,10,27,0,1
0,0,2834,1,26,0,1
0,0,2834,3,26,0,1
0,0,2834,8,26,0,1
0,0,2834,10,26,0,1
0,0,2838,1,25,0,1
0,0,2838,3,25,0,1
0,0,2838,8,25,0,1
0,0,2838,10,25,0,1
0,0,2843,1,24,0,1
0,0,2843,3,24,0,1
0,0,2843,8,24,0,1
0,0,2843,10,24,0,1
0,0,2848,1,23,0,1
0,0,2848,3,23,0,1
0,0,2848,8,23,0,1
0,0,2848,10,23,0,1
0,0,2852,1,22,0,1
0,0,2852,3,22,0,1
0,0,2852,8,22,0,1
0,0,2852,10,22,0,1
0,0,2857,1,21,0,1
0,0,2857,3,21,0,1
0,0,2857,8,21,0,1
0,0,2857,10,21,0,1
0,0,2862,1,20,0,1
0,0,2862,3,20,0,1
0,0,2862,8,20,0,1
0,0,2862,10,20,0,1
0,0,2866,1,19,0,1
0,0,2866,3,19,0,1
0,0,2866,8,19,0,1
0,0,2866,10,19,0,1
0,0,2871,1,18,0,1
0,0,2871,3,18,0,1
0,0,2871,8,18,0,1
0,0,2871,10,18,0,1
0,0,2875,1,17,0,1
0,0,2875,3,17,0,1
0,0,2875,8,17,0,1
0,0,2875,10,17,0,1
0,0,2880,1,16,0,1
0,0,2880,3,16,0,1
0,0,2880,8,16,0,1
0,0,2880,10,16,0,1
0,0,2885,1,15,0,1
0,0,2885,3,15,0,1
0,0,2885,8,15,0,1
0,0,2885,10,15,0,1
0,0,2889,1,14,0,1
0,0,2889,3,14,0,1
0,0,2889,8,14,0,1
0,0,2889,10,14,0,1
0,0,2894,1,13,0,1
0,0,2894,3,13,0,1
0,0,2894,8,13,0,1
0,0,2894,10,13,0,1
0,0,2898,1,12,0,1
0,0,2898,3,12,0,1
0,0,2898,8,12,0,1
0,0,2898,10,12,0,1
0,0,2903,1,11,0,1
0,0,2903,3,11,0,1
0,0,2903,8,11,0,1
0,0,2903,10,11,0,1
0,0,2908,1,10,0,1
0,0,2908,3,10,0,1
0,0,2908,8,10,0,1
0,0,2908,10,10,0,1
0,0,2912,1,9,0,1
0,0,2912,3,9,0,1
0,0,2912,8,9,0,1
0,0,2912,10,9,0,1
0,0,2917,1,8,0,1
0,0,2917,3,8,0,1
0,0,2917,8,8,0,1
0,0,2917,10,8,0,1
0,0,2922,1,7,0,1
0,0,2922,3,7,0,1
0,0,2922,8,7,0,1
0,0,2922,10,7,0,1
0,0,2926,1,6,0,1
0,0,2926,3,6,0,1
0,0,2926,8,6,0,1
0,0,2926,10,6,0,1
0,0,2931,1,5,0,1
0,0,2931,3,5,0,1
0,0,2931,8,5,0,1
0,0,2931,10,5,0,1
0,0,2935,1,4,0,1
0,0,2935,3,4,0,1
0,0,2935,8,4,0,1
0,0,2935,10,4,0,1
0,0,2940,1,3,0,1
0,0,2940,3,3,0,1
0,0,2940,8,3,0,1
0,0,2940,10,3,0,1
0,0,2945,1,4,0,1
0,0,2945,3,4,0,1
0,0,2945,8,4,0,1
0,0,2945,10,4,0,1
0,0,2949,1,5,0,1
0,0,2949,3,5,0,1
0,0,2949,8,5,0,1
0,0,2949,10,5,0,1
0,0,2954,1,6,0,1
0,0,2954,3,6,0,1
0,0,2954,8,6,0,1
0,0,2954,10,6,0,1
0,0,2958,1,7,0,1
0,0,2958,3,7,0,1
0,0,2958,8,7,0,1
0,0,2958,10,7,0,1
0,0,2963,1,8,0,1
0,0,2963,3,8,0,1
0,0,2963,8,8,0,1
0,0,2963,10,8,0,1
0,0,2968,1,9,0,1
0,0,2968,3,9,0,1
0,0,2968,8,9,0,1
0,0,2968,10,9,0,1
0,0,2972,1,10,0,1
0,0,2972,3,10,0,1
0,0,2972,8,10,0,1
0,0,2972,10,10,0,1
0,0,2977,1,11,0,1
0,0,2977,3,11,0,1
0,0,2977,8,11,0,1
0,0,2977,10,11,0,1
0,0,2982,1,12,0,1
0,0,2982,3,12,0,1
0,0,2982,8,12,0,1
0,0,2982,10,12,0,1
0,0,2986,1,13,0,1
0,0,2986,3,13,0,1
0,0,2986,8,13,0,1
0,0,2986,10,13,0,1
0,0,2991,1,14,0,1
